mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07384936014811198,0.0018167139069590374,0.0014564196268717449,0.00034727379094625944,0.01,5,50,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",0.9177852348993288,0.9295302013422819,0.9411764705882353,0.9294973022766154,0.009549460317207596,8
0.11507169405619304,0.06261471135652427,0.001184384028116862,0.0002796963493190767,0.01,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.912751677852349,0.924496644295302,0.9294117647058824,0.9222200289511777,0.00698936604472085,15
0.010688066482543945,0.0004954898329537894,0.0006713072458902994,4.451785577323601e-05,0.1,3,10,0.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.5}",0.9093959731543624,0.9077181208053692,0.9226890756302522,0.9132677231966614,0.0066970246321135084,19
0.010213692982991537,0.0008743362106155344,0.0008480548858642578,0.0003612138780430931,0.1,3,10,0.7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.7}",0.9312080536912751,0.9177852348993288,0.9193277310924369,0.9227736732276802,0.005997160660398154,12
0.013351996739705404,0.0004750236889111432,0.0006543000539143881,1.6064923077902564e-05,0.1,3,10,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.9043624161073825,0.9161073825503355,0.9193277310924369,0.9132658432500517,0.006431481029372449,20
0.04865368207295736,0.007595812332082582,0.0009839534759521484,6.579575285382345e-05,0.1,3,50,0.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.9312080536912751,0.9395973154362416,0.9495798319327731,0.94012840035343,0.00750964257163828,2
0.043528079986572266,0.00175732346865158,0.0008003711700439453,3.129071654774194e-05,0.1,3,50,0.7,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",0.9412751677852349,0.9362416107382551,0.9394957983193277,0.9390041922809393,0.0020841355536584945,3
0.04138024648030599,0.0015501061147885813,0.0009083747863769531,0.00020073239737296102,0.1,3,50,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.9446308724832215,0.9328859060402684,0.9394957983193277,0.9390041922809393,0.004807446762350991,3
0.023808797200520832,0.0017707542493667244,0.0008633931477864584,6.846567260173912e-05,0.1,5,10,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.5}",0.9177852348993288,0.9362416107382551,0.9327731092436975,0.9289333182937605,0.00800905521608047,9
0.02177707354227702,0.0020667083398876176,0.0008703072865804037,8.503365736366442e-05,0.1,5,10,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.7}",0.9295302013422819,0.9345637583892618,0.9294117647058824,0.9311685748124754,0.002401244184344231,7
0.024521350860595703,0.003117164418753836,0.0009879271189371746,0.0002379808646439559,0.1,5,10,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9110738255033557,0.9194630872483222,0.9361344537815126,0.9222237888443967,0.010415529348074966,13
0.0754539966583252,0.007197313758373984,0.001170794169108073,8.368510994643882e-05,0.1,5,50,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",0.9379194630872483,0.9429530201342282,0.946218487394958,0.9423636568721449,0.0034135966278017503,1
0.10209719340006511,0.02775894338842862,0.0014594395955403645,0.00019471713455700983,0.1,5,50,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",0.9412751677852349,0.9345637583892618,0.9361344537815126,0.9373244599853363,0.0028662216818131294,5
0.09138099352518718,0.02899284316769368,0.0010134379069010417,9.597827732762222e-05,0.1,5,50,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.9278523489932886,0.9345637583892618,0.9378151260504202,0.9334104111443237,0.004148243730631209,6
